siteid,code,status,name,site_type
23KEND52JUR19,FRFSMTM,INACTIVE,Fos Sur Mer Terminal,TERMINAL
4926826583653,RULED31P,ACTIVE,ZAO PERVAYA STIVIDORNAYA KOMPANIA,TERMINAL
1Q5FG69NZKW3J,USCHSPI,INACTIVE,Mount Pleasant,DEPOT
33584488X7G5B,,INACTIVE,Charlevoix  Mi,TO BE UPDATED
0SO9206RW9PX8,CN5H2TM,INACTIVE,Taicang Container Terminal,BARGE TERMINAL
BQAJUDFYRX9H1,ESMADTA,ACTIVE,Transportes Arranque,DEPOT
1PLGRQPIFEYRJ,USPEVTM,ACTIVE,PORT EVERGLADES TERMINAL LLC,TERMINAL
01NLKGFO5ZFJZ,VNVUNMT,INACTIVE,Vungtau,TERMINAL
34ZP745VAV911,ROMO3RR,INACTIVE,Campina Rail Terminal,RAIL TERMINAL
3PB3KHLPCONSV,GBSRP02,ACTIVE,Stratford Cfs,DEPOT
13HXXTG5O08AA,LUEEQRR,INACTIVE,Bettembourg Rail Terminal,RAIL TERMINAL
3RZQ4XS5LWQLX,MYSIPTM,ACTIVE,Sipitang,DEPOT
0J19AZ3422Q02,ESIRU01,ACTIVE,Irun Rail Terminal,RAIL TERMINAL
9753070501496,USFWO30P,INACTIVE,Oloc Facility Use For Chassis Cost,CUSTOMER LOCATION
1EXFTE802YB27,USDAOBT,ACTIVE,XPO Container Yard,DEPOT
3RG2EO52N569Q,USJAX34P,INACTIVE,Coleman American,CUSTOMER LOCATION
2RNFB8N2MO22N,KHPNHMP,INACTIVE,Mcc Transport - Paragon,TO BE UPDATED
3NYBFHYH6VSZJ,USPHL02,INACTIVE,Philadelphia,TO BE UPDATED
3HFTK8BJWGJ3H,AUFRE40P,ACTIVE,BAGULEYS ROUS HEAD,DEPOT
1Z1K1HS0TDEP3,JOAHZAIR,ACTIVE,Aqaba airport,DEPOT
1A7GM54RRGSZW,USFLZ30P,INACTIVE,Halls Warehouse,CUSTOMER LOCATION
HDGWNCGMW8FAW,INMAAWG,ACTIVE,Western Gateway Cargo Services,DEPOT
OXK0PZZLUIPEO,NGAPPUN,ACTIVE,Unity Bonded Terminal,TERMINAL
1428662716145,PHMNL41P,INACTIVE,REFCON ENTERPRISES COMPANY,DEPOT
KHRP9TA8PLZLQ,MYLPKMCY,ACTIVE,Malbartra Depot Sdn Bhd,DEPOT
BMDZITR3ADU1G,INJHTTG,ACTIVE,TG Terminals Pvt Ltd,CONTAINER FREIGHT STATION
24T4H97MRFG12,ZAJNBKC,INACTIVE,KCT Logistics,DEPOT
16PSUTULXADVG,MXMEXRR,INACTIVE,Ferrocarriles Nacionales Y Montevid,RAIL TERMINAL
39ZNSLDORZHJ3,,INACTIVE,Lisbon      Nh,TO BE UPDATED
304VVNH1BZK2M,NOKSUTM,INACTIVE,Kristiansund Terminal,TERMINAL
22GKH7EBGCNID,USNFK37P,INACTIVE,GTL Trucking,DEPOT
3USJNLX2X3A0V,TTSGOTM,INACTIVE,St George/Techmarine,TO BE UPDATED
04E1DSTS74YW0,NOODITM,INACTIVE,Odda Terminal,TERMINAL
2E8JEUCILJ93J,GEPTILO,ACTIVE,Logistex Ltd.,TERMINAL
K24RTVABMTFAR,LTVNOLR,ACTIVE,JSC Lithuanian Railways,TERMINAL
10EOPT8MOYR9A,,INACTIVE,Monteverde - Guayas,TO BE UPDATED
7487112794764,SGSIN56P,INACTIVE,OTHER YARDS,DEPOT
3AZNBLOCBWHUL,NLTILCT,INACTIVE,CTU Rivierenland BV - Tiel,DEPOT
0ZQ4E1XW6O22W,SVSALDR,ACTIVE,TCF Nejapa,TERMINAL
15CPT4O3O5UNZ,USSEA02,ACTIVE,Seattle Northwest Container Service,DEPOT
1DU4DSO57VPMN,,INACTIVE,Luttrell    Tn,TO BE UPDATED
3UXRSVV3AL39J,ITTRSSL,ACTIVE,Servizi Logistici Trieste,DEPOT
0ITMTDIFU9NAW,USBALTO,INACTIVE,OST Trucking Company Inc,DEPOT
1MQ96ODU2SO0Y,BDCGPQN,ACTIVE,CHITTAGONG QNS LTD,CUSTOMER LOCATION
3ILULM4IA7755,AUMEL12,ACTIVE,Brambles Shipping Terminal,TERMINAL
0ICGNYVC8STXB,,INACTIVE,"Mexico,Mo",TO BE UPDATED
01XY6OLQS326C,CNMAWSC,INACTIVE,Mawan Sun Cypress Shipping,BARGE TERMINAL
1JB5ZUCYFECN3,,INACTIVE,Moravian Falls,TO BE UPDATED
E0ZUM95YS1WKN,BEANTAA,ACTIVE,ACD ANKIN CONTAINER DEPOT,DEPOT
05MY4RGN411QC,USCHIJY,INACTIVE,BTT,DEPOT
JSAFF4P249GIY,USWYITP,ACTIVE,"Illinois Transport, Inc.",DEPOT
NVGNYYGQMERDD,DKCPHCS,INACTIVE,Cargo Service CT - CPH,DEPOT
7590476603988,FRFOS33P,INACTIVE,TRUCK DEPOT SILVIO DELUCA FOS,DEPOT
1MV9G3MEW0RMK,NZNWLCET,ACTIVE,SCS New Plymouth,DEPOT
31HRIENASHY0G,DOSPMFZ,ACTIVE,San Pedro de Macoris Free Zone,CUSTOMER LOCATION
BFCT9NIKAFUNE,ECGYE13,INACTIVE,THERMOCONT SA,DEPOT
GUURWO7UTKN5E,INKASIC,ACTIVE,Kashipur Infra and Freight Terminal,DEPOT
2AOAOO9M8GUIN,GBMNC01,ACTIVE,MANCHESTER MARITIME - OFFHIRE,DEPOT
2A77RDK9JVLIH,RUMOWSL,ACTIVE,Selyatino Rail Terminal,RAIL TERMINAL
22QNIF70IFQV7,KZ98WRR,INACTIVE,Yaisan Rail Terminal,RAIL TERMINAL
2RID84TOB6JRO,GBWAA01,ACTIVE,Kuehne Nagel Sainsburys RRU,CUSTOMER LOCATION
2YWOM6W1A0GYV,FRCOGDP,ACTIVE,Fra Naviland - Depot Cognac,DEPOT
2233226793927,USLAX30P,ACTIVE,CONEX FREIGHT SYSTEMS,DEPOT
0JPQCWA5IZV7M,DOSD7,ACTIVE,Rate Of Exchange,CUSTOMER LOCATION
AH3TG2RWGFX5S,USLTRAF,ACTIVE,ANTONINI FREIGH EXPRESS LATHROP,DEPOT
H4ARGWBRTL1LG,GEPTIAM,ACTIVE,American Monolith LLC,TERMINAL
QQ3NMS24C4M7J,BRSMRBR,ACTIVE,BRADO,DEPOT
19ZPPZ086PCU2,YEAHDCT,ACTIVE,Hodeidah City,CUSTOMER LOCATION
2ICJL99Q0A8XF,ESSDRTM,ACTIVE,Santander Terminal,TERMINAL
1KOFOQD5FYQNY,,INACTIVE,El Palmar(Murcia),TO BE UPDATED
C8QVICT9VLFCH,ITCZCLC,ACTIVE,LAVAZZA CARCARE,DEPOT
1LKBMFVIJ0S9N,USDYWAW,ACTIVE,Ace World Wide,DEPOT
0I2VVUIE0Z8N3,,INACTIVE,Pampatar,TO BE UPDATED
3GYTKB57V9G1H,USATLLP,ACTIVE,Lanport - Atlanta,DEPOT
1AJMSH2WOAUL2,,INACTIVE,Rottedam Stop,TERMINAL
5338798507740,USOD230P,INACTIVE,Lowes Companies Incorporated,CUSTOMER LOCATION
07Y8CMD14FR0F,,INACTIVE,Morrisville Nc,TO BE UPDATED
PHINPM7BKR941,INMODIC,ACTIVE,ICD Modinagar,DEPOT
3KED24X6GDS3X,IDJKTBC,ACTIVE,PT Bintang Container Indonesia,DEPOT
3DTC4RNE2ZHQ7,,INACTIVE,Maust,TO BE UPDATED
1L82EMNWOWINZ,USFWOUP,ACTIVE,Fwo-Up Rr,RAIL TERMINAL
6352712570854,GBBEL30P,INACTIVE,"Bellaghy, Eucon",TERMINAL
3IHE1U399SW3J,,INACTIVE,Dominguez   Ca,TO BE UPDATED
3IH40Z00CU2ZC,RO57K01,INACTIVE,Ikea Radauti,CUSTOMER LOCATION
2QPES47SO0DP9,IRSYZTM,INACTIVE,Shiraz Customs Terminal,CUSTOMER LOCATION
0P9EY11M4JEFU,CATORHG,ACTIVE,Highland Transport,DEPOT
30JPBUD7XBJK9,DEINM01,ACTIVE,D-32423 Minden,DEPOT
IEWD9XRFE1D5F,ITSALSM,ACTIVE,Smetamoruso Depot,DEPOT
2MGDF3GCL2V0F,,INACTIVE,Merritt Island,TO BE UPDATED
08MQI4S2L258B,TRAMB04,ACTIVE,Ardep Hadimkoy DepotPLS DO NOT USE,DEPOT
2LWQQ5GRHZQM7,,INACTIVE,Hodeidah,TO BE UPDATED
3R8ONF6HJGLAY,INRTMIC,ACTIVE,ICD Ratlam,RAIL TERMINAL
06FQVA799ZL7F,USGVIPC,ACTIVE,Port City Trucking,CUSTOMER LOCATION
2V7AR3EDQ65BZ,,INACTIVE,St Pierre Et Miquelon,TO BE UPDATED
079U3Q903P1I5,AFCSOCHA,INACTIVE,Camp Salerno Via Chaman,CUSTOMER LOCATION
0KHCN4B52KI0G,GBRAH03,ACTIVE,Rainham Eazystore,DEPOT
32GVNB5JJ997A,CNHUPZJ,ACTIVE,CIMC Huangpu,DEPOT
3G0BBFLM1NQUO,PLQRU04,INACTIVE,Spedcont Sosnowiec,TERMINAL
GL4PWH2AXYLSB,DEKEHET,ACTIVE,Euro Terminal Kehl,DEPOT
28CWHWDXOAUSN,AFBAZTR,ACTIVE,Bazar-e-Panjwai Base,CUSTOMER LOCATION
13YRXJ8T53TWV,ZAOU301,ACTIVE,Bloemfontein Rail Terminal,RAIL TERMINAL
1KXV3OZHSL27Z,GBWKF01,INACTIVE,Wakefield,TO BE UPDATED
8204201440422,BEANT47P,INACTIVE,TRUCKER DEPOT DEX BVBA HAVENTRANSPO,DEPOT
2WTZRWKNT1PTQ,CNANJCD,ACTIVE,Anji Terminal,TERMINAL
07C8L4O2KLL90,GBAYX01,ACTIVE,"Aylesbury, Ravenstock",CUSTOMER LOCATION
P8VF9UKTU3CSF,EGPSDAN,ACTIVE,Port Said Anchorage Only,TERMINAL
2G53HF8S3GAYN,,INACTIVE,El Rancho,TO BE UPDATED
6L3FCSKDYVNSQ,USCMHTA,ACTIVE,"Whitacre Logistics, LLC",DEPOT
274B30J4LRPFJ,USMKECW,INACTIVE,Closed/Chicago Northwestern Railroa,RAIL TERMINAL
IFGWHXPCTALUL,INJHTSVC,ACTIVE,Sarveshwar CFS,CONTAINER FREIGHT STATION
2FVFNI4Y9ZT95,ESALR05,ACTIVE,Ferry Terminal,TERMINAL
1NOIHM1MPIPEA,JPKOBC2,ACTIVE,Kobe Terminal PC-2,TERMINAL
2IHLRZOV7K102,THGA6CP,ACTIVE,"Cont Pool Co., Ltd.",DEPOT
FNCAMDNCD7L8V,USTACPA,ACTIVE,Ports America Pierce County Termina,DEPOT
I81RKTLQ8O5YQ,AUADLTS,ACTIVE,TRG Transport Solutions - Adelaide,DEPOT
0V82U6ADKCAFG,CNKWA04,ACTIVE,Guang Zhou Port,BARGE TERMINAL
2XDX2LKBE39TR,,INACTIVE,Reinholds   Pa,TO BE UPDATED
GQSFCW3P3WFI0,ITMSNMS,ACTIVE,Messina strait,TERMINAL
2WKZ0HHZV24EV,NLROT91P,ACTIVE,CDR (Off-Hire Depot),DEPOT
3AJ4D08MYYPA7,USBWKST,INACTIVE,Berwick Pa,TO BE UPDATED
2LMP1SEJ2HDVJ,USJAXBT,ACTIVE,XPO Container Yard,DEPOT
0CDUZNAK2NEHL,HKHKGAW,ACTIVE,Affluence Warehouse & Transportatio,DEPOT
0T0ZT27U5LLRZ,USNOLDP,INACTIVE,Delta Petroleum,DEPOT
2QYNIRP4GGIVW,ZAJNBMD,INACTIVE,Mzanzi Depot,DEPOT
3IM3US3I3791Q,GBGHX01,ACTIVE,Wavin Plastics Ltd,CUSTOMER LOCATION
3ORT548D65QBI,FROXM01,ACTIVE,Terminal PMR Ottmarsheim,DEPOT
06KNKXCCJBATA,,INACTIVE,Daveluyville   Pq,TO BE UPDATED
2GOWY9XOMLAIN,USYUASP,INACTIVE,Yua-Sp Rr,RAIL TERMINAL
13FHLJGDG96RJ,USPHXSF,ACTIVE,Phx-Atsf Rr,RAIL TERMINAL
0Y5CI3789M3XY,ATLNZ01,ACTIVE,Linz Service GmbH,TERMINAL
9907726538325,CHBSL40P,INACTIVE,Srn Alpina,DEPOT
7123144025506,USNAV30P,INACTIVE,Nissan North America,CUSTOMER LOCATION
20EZEPFMSF6SD,DEGRAM1,INACTIVE,Grafenwoehr Military Depot,DEPOT
2D02HEY8YLV03,ROBRITM,INACTIVE,Bistrita Nord Terminal,DEPOT
6GWGXHPIKBJYN,NLDXRTD,ACTIVE,Terminal Delfzijl C o MCS BV,BARGE TERMINAL
OQHBG7PAYDGTW,VNSGITN,ACTIVE,ICD Tanamexco,BARGE TERMINAL
XU309FKLRBRPJ,SEVAG01,ACTIVE,Varbergs Hamn,TERMINAL
3HX8K04HQXZWK,BSNASTM,ACTIVE,Nassau Port Terminal,TERMINAL
08WUQIPVY6A2B,AUFRECD,ACTIVE,Codestyle Depot,DEPOT
0IHM75SD7QNJP,GTGUABW,ACTIVE,Guatemala City Bonded Warehouse,DEPOT
0041758618337,FRSTB31P,INACTIVE,Strasbourg Off-Hire Depot,DEPOT
2ZGXGPVSR7XU7,NGAPP21,ACTIVE,Mitchelle Bonded Terminal,DEPOT
3ICL1CO13GEM2,CNDLQFT,INACTIVE,Doumen,DEPOT
13Z0CM70AZRDQ,,INACTIVE,Marmagao Terminal,TERMINAL
38A7ZAZ9LE5SC,GBMX430P,ACTIVE,Railfreight Distribution (Frtln),DEPOT
063KCMO21F7CE,PKKHIBD,INACTIVE,Badaruddin Container Depot,DEPOT
SKT8NQPEHKVAQ,ARSTEES,ACTIVE,ESTACION STEFENELLI,RAIL TERMINAL
CKZAP46VP95PV,ESALRCT,ACTIVE,COSENTINO DEPOT CARTAGENA,DEPOT
2JZFGI86VHDHZ,USSEAGI,INACTIVE,Global Intermodal,DEPOT
21S7396Q8SN3V,DEHNUM1,INACTIVE,Hanau Military Depot,DEPOT
L2FKUSXP7HRBA,SGSINJR,INACTIVE,Cogent Jurong Depot,DEPOT
04Y01J0YHU7E5,THLZP04,ACTIVE,Dangerous Cargo Warehouse,CUSTOMER LOCATION
2UXCSZEDB85TR,,INACTIVE,N Loup,TO BE UPDATED
1GL1PKLQU6WSV,AFGRGTR,ACTIVE,Gardez Depot,TERMINAL
0QAAWN305AT7S,NZAKLFV,ACTIVE,Fonterra Victoria Street,CUSTOMER LOCATION
25C8W2JQNE0GJ,TRKAH01,ACTIVE,NARLI DEPO - Kahramanmaras,DEPOT
0401396756247,USNYC36P,INACTIVE,Raymour And Flanigan G,CUSTOMER LOCATION
2279U79EL1OCF,USNOLFR,INACTIVE,New Orleans - France Road Nomc,CUSTOMER LOCATION
03Z72CT8FODGW,INMAA01,INACTIVE,Santosh Container Freight Station,CONTAINER FREIGHT STATION
2E8C77YUT7JUR,TJWF6RR,INACTIVE,Shaartuz Rail Terminal,RAIL TERMINAL
5JGCYX2V7WEFU,AUGLBCF,ACTIVE,Crawfords Freightlines,RAIL TERMINAL
0JQEGMEJLL1WK,USEBM30P,INACTIVE,Reckitt Benkiser,CUSTOMER LOCATION
7313364733622,USHBR30P,INACTIVE,The Gap Warehouse,CUSTOMER LOCATION
DM7URGLU6RZZT,NOSTMSH,ACTIVE,SALTEN HAVNESERVICE AS,DEPOT
1868752344450,NZAKL35P,ACTIVE,Container Repair & Sales  (CRS),DEPOT
SFY0VI88KBZSM,BRPNGTA,ACTIVE,TRANSATLANTICA OFF HIRE DEPOT,DEPOT
1L7PQEAUKYS1R,JPKOB10,INACTIVE,Kobe Pl-10,TERMINAL
WOHSTQS5LOJJ5,KITRWTM,INACTIVE,PORT OF TARAWA,TERMINAL
3AT336UOZ5L7O,CNNKG21P,INACTIVE,Ma 'an Shan,TERMINAL
2XOFMDW8OTSOU,,INACTIVE,Valleyfield Pq,TO BE UPDATED
0N7QJQZLEXF5J,ITVCESG,ACTIVE,SOGECO Depositi Venezia,DEPOT
AKYHAEXBXFKJX,ID8A5PS,ACTIVE,PT. Seacon Terminal,DEPOT
6100479590753,ECGYE31P,INACTIVE,AUTORIDAD PORTUARIA DE GUAYAQUIL T2,TERMINAL
0PLLVRV0EO9Z1,IDJKT45,ACTIVE,TERMINAL 3 TANJUNG PRIOK,TERMINAL
18CN8PQB7HH75,BRZKAUN,ACTIVE,Santos Brasil,DEPOT
1AJ8R36ZYVYIN,USCMHDR,INACTIVE,Cmh-Cont Port,DEPOT
4774296583968,FRVOV30P,INACTIVE,Volvic,DEPOT
1JKGPR692LU3F,GRLARDP,ACTIVE,Larissa,DEPOT
1NF40D8RMAYDB,,INACTIVE,Plan D'orgon,TO BE UPDATED
0A08ZX7K58IOE,USMRV02,INACTIVE,"Honda Plant, CR Ramp",DEPOT
6960587746911,ESVIL31P,ACTIVE,Containers Sa,DEPOT
0ES5YQ06V9LZ3,,INACTIVE,Bugo,TO BE UPDATED
2ON4O3XMJ9L6N,USSTLSF,ACTIVE,Atchison Topeka and Santa Fe Railro,RAIL TERMINAL
OPTEYFXRFYCCW,PHMNLEM,ACTIVE,"El Salvador Marine Logistics, Inc.",DEPOT
196LG0HWXFYVU,IRBNDTM,ACTIVE,Bandar Abbas Terminal,TERMINAL
048XHZMQIFN0Q,USKTTTM,ACTIVE,Northland Terminal,CUSTOMER LOCATION
3020676785624,SGSIN36P,INACTIVE,TRANSWARE DISTRIBUTION SERVICES,DEPOT
3520DFXW9OVI6,ESLPA02,ACTIVE,Las Palmas Cfs,CONTAINER FREIGHT STATION
0LD2VKB09TYTB,USHLLHM,INACTIVE,Holland/Herman Miller,TO BE UPDATED
BWTZTUY3KSD6Z,BEZEECS,INACTIVE,Star Container Services APMTZ,DEPOT
05HUHA1GI3KVZ,MYLPK04,ACTIVE,Sony Supply Chain Solutions Sdn Bhd,CUSTOMER LOCATION
304SICX7QDQPR,USFWOKT,INACTIVE,Fwo-Mkt Rr,DEPOT
4647285409573,ITGOA31P,ACTIVE,Derrick Genova Borzoli,DEPOT
0XT43JY81XW3N,DEBRE18,ACTIVE,PCG - Packing Center GVZ,DEPOT
0UIT7EBKIOF2P,CNXIFEM,INACTIVE,China East March Logistic Ltd,BARGE TERMINAL
5795807212496,USMWO30P,INACTIVE,Iowa Army Ammunition Plant,DEPOT
8486895257834,ARMEN30P,ACTIVE,Marpacifico S.A.,DEPOT
3D7UV08AD6KCQ,CNSOCND,ACTIVE,Suzhou New District Custom,DEPOT
2270URF25LZJ0,USSBQ01,INACTIVE,Rowan Companies Sabine Pass Yard,CUSTOMER LOCATION
HQLL1OBLFJTWS,CNSGRRT,ACTIVE,Shangrao New Rail Station,DEPOT
2WARWS0BIIPA7,USCHIII,INACTIVE,Iowa Interstate Railroad,RAIL TERMINAL
3F6LK0Y324RUJ,DEWTSM1,INACTIVE,Weiterstadt Military Depot,DEPOT
24VLPRJG0DFRX,NLROTR41,ACTIVE,Holland Reefer Service BV,DEPOT
09LHEYAEWOJFA,BRVIXPT,INACTIVE,Vitoria Port Terminal,TERMINAL
73TYPMH8UHTU7,CNYHHJT,ACTIVE,Yingkou Newport Container Railway,DEPOT
0I32UV20R5DHB,,INACTIVE,Use Us Eyb,TO BE UPDATED
27DY8S5P8AA9R,HUBUD03,INACTIVE,Budapest Jozsefvaros,RAIL TERMINAL
2SNWP7OSMSHBJ,BRGU2CX,ACTIVE,Complexo Industrial Japy,DEPOT
1ES8H58VBH3YL,RUXECRR,INACTIVE,Ukhta Rail Terminal,RAIL TERMINAL
0PGGYCDRCTJ7J,USILMCE,INACTIVE,Wilmington Nc Chesnut Enterprises,CUSTOMER LOCATION
T0YBMPUCNQYRQ,INMLROA,ACTIVE,OPAL ASIA DEPOT I P.LTD.Mangalore,DEPOT
8530743242489,NGAPP33P,INACTIVE,B WAREHOUSE,DEPOT
3L7Q3D03TIN3Z,GBJRW03,ACTIVE,Jarrow,DEPOT
0LEN0HRBETD9Z,MXIZCC3,ACTIVE,APM Cuautitlan 03,RAIL TERMINAL
04L6USWZYZ00R,USCDERD,INACTIVE,RDSE Ralph DiFabio and Sons,CUSTOMER LOCATION
DTUO1IHLEPYPP,KRQR3IB,INACTIVE,INTERGIS Bugok Depot,DEPOT
2GP90YVKYTKE7,USMDOCW,INACTIVE,Closed/Chicago Northwestern Railroa,RAIL TERMINAL
BX3T6GXWRZYW9,TRMER03,ACTIVE,MERSIN BORUSAN OFF-DOCKPLS DONOTUSE,DEPOT
3SVUOQWRH8P6N,MXVER01,ACTIVE,Veracruz/Veracruz Off Dock,DEPOT
PNAZIBR4JTXIE,INJHTAQ,ACTIVE,Aqdas Yard Unicon Marine,DEPOT
TJAIMDIGCGF9C,PYASUPS,INACTIVE,PUERTO SEGURO FLUVIAL,BARGE TERMINAL
1YCVZPD5RVIIM,AUMEL05,ACTIVE,Qube Vic Doc,DEPOT
VQTXNRTG6RDME,NZMKLCT,ACTIVE,Auckland Metroport Inland Terminal,TERMINAL
04G9K4OH37N4N,NZCHCHB,INACTIVE,Hornby,RAIL TERMINAL
1354987081771,USNCA30P,INACTIVE,Global Intermodal Systems,DEPOT
2G5ICNYTEU3CV,USOAK05,INACTIVE,Oaklandjapfi,DEPOT
0CQO06I03CWF6,ESLER01,ACTIVE,Lleida Rail Terminal,RAIL TERMINAL
W3ZLYILBLS35Q,RUA6BKL,ACTIVE,Kolcovo,RAIL TERMINAL
14SWM9UGUOHVJ,,INACTIVE,Warren      Ct,TO BE UPDATED
1HSJDMWE4J9Z7,BRB3G01,ACTIVE,Suape Offdock,DEPOT
2KOCYSCEQROJA,ZAP1RUN,ACTIVE,UNI Logistics,DEPOT
1QYNVWJAG01A7,USCBFII,INACTIVE,Iowa Intersate Railroad,RAIL TERMINAL
2CL6KHVW9LJEN,USRHHSF,INACTIVE,Richmond Atsf,RAIL TERMINAL
DWHXEL9GFBSXR,MXTPLTC,ACTIVE,Trml De Contenedores Y Servicios Po,TERMINAL
ZLSXFPK4GRWNK,INJHTHY,ACTIVE,Hindustan Container Yard,DEPOT
5199695837311,MYIPH31P,INACTIVE,IPOH CONTAINER TERMINAL,DEPOT
0E492H0SL3BJ1,PTAVETM,ACTIVE,Aveiro Terminal,TERMINAL
32BKZPUDUAC8V,USIRZAA,INACTIVE,COPENHAGEN,CUSTOMER LOCATION
38HFLDWRFYQDH,BFOUARR,ACTIVE,Sitarail Rail Terminal,RAIL TERMINAL
2IM0PXRYBIFYW,AMYERME,ACTIVE,Metexim Customs Warehouse,TERMINAL
NFIKK45FE5GD6,PHMNL90,INACTIVE,Facility for Testing,DEPOT
8649159347941,GBSOU34P,ACTIVE,Free Trade Zone,DEPOT
15WLCQFNC8HFB,USSAVII,INACTIVE,Integrated Industries,CUSTOMER LOCATION
SAL1SG0AQ4PUZ,CNZSHXY,ACTIVE,ZHOUSHAN XINYA SHIPYARD CO LTD,TERMINAL
0NTE1JGVL9NBT,ESALRTM,ACTIVE,Algeciras - ML Terminal,TERMINAL
0M6Q148FQA54U,,INACTIVE,St Augustin,TO BE UPDATED
1454359275035,NZWHA30P,ACTIVE,WHANGAREI RAIL HEAD,DEPOT
271YP25IT4EJ6,ZATZARR,INACTIVE,Tzaneen Rail Location,RAIL TERMINAL
3DTD6EK6RIGGE,DKHVMCE,INACTIVE,Hvam Container Export,CUSTOMER LOCATION
3RS46N99NZB7J,USMPSUP,INACTIVE,Milpitas Ca Uprr,RAIL TERMINAL
0QKKBKAKBMXKV,,INACTIVE,Riverdale   Ia,TO BE UPDATED
1E42DGHAWLAZA,CDMAT60,ACTIVE,Pacific Trading Matadi,DEPOT
31SAK6LWSAWE6,ECGYE02,ACTIVE,Contenec,DEPOT
0ZGJ10TIX7YH2,BEKLXVM,ACTIVE,Van Moer Rail,DEPOT
365PVQWDLGCXR,,INACTIVE,W Newton,TO BE UPDATED
1K4UDDYC24TPP,GBGMO03,ACTIVE,GRANGEMOUTH ELDAPOINT,DEPOT
0LMN4IKWS2K5B,USTACAA,INACTIVE,Macmillan Piper,TO BE UPDATED
2TU6P98ML0ZDI,INBHIIC,ACTIVE,Bhiwadi(RSIC ICD),CONTAINER FREIGHT STATION
2TJYMVUL2D4LA,CNHUPIT,INACTIVE,International Transport Ent Co Ltd,TO BE UPDATED
27O02ICSVQQK2,USLSAPS2,INACTIVE,Priority Train 2,DEPOT
2P439F3AZR8G7,PLGDYHT,INACTIVE,Gdynia Container Terminal,TERMINAL
3746J5HYVTOOO,PTXKT01,ACTIVE,Santa Cruz das Flores,TERMINAL
1FQLUBX2HB3HA,NGPHCTM,INACTIVE,Port Harcourt Terminal,TERMINAL
06UPRVA26IM4E,,INACTIVE,Rivesaltes,TO BE UPDATED
0001KILV7VS8F,ZADURMW,ACTIVE,Durban - Maydon Wharf 10,TERMINAL
135MRYBRBFW3T,USHOMCF,ACTIVE,Homer City Fish Dock,DEPOT
24DQR7CNI5TEP,CNJJXTM,ACTIVE,Jiujiang Foreign Trade Terminal,TERMINAL
2CL7UVXN0PL9V,AFKUNTR,ACTIVE,Kunduz Base,DEPOT
3VCJ0OQARM55G,AUFRECL,ACTIVE,Coleman R J Transport P/L,DEPOT
S2KMRP5RIG3QG,DEBRERW,ACTIVE,Rhenus Weserport GmbH,CUSTOMER LOCATION
1BRVRLKM8JVLM,BRGURRT,ACTIVE,Rocha Top - Sist. Int. de Term. Ltd,DEPOT
365RWPS533N26,,INACTIVE,San Isidro De Albatera,TO BE UPDATED
2269799845419,NLIJM30P,INACTIVE,Hoogovens,DEPOT
PVEUCHZ8IIBKJ,THSHTSC,ACTIVE,Bangkok Sahathai,TERMINAL
2LMS7WCLXNJXR,UAILJ03,ACTIVE,Ludlen Warehouse,RAIL TERMINAL
0131298461990,DEHAM39P,INACTIVE,Anco,DEPOT
1H4183DZNIL4V,,INACTIVE,San Antonio Southwest Frt,TO BE UPDATED
321FQD2Y7S9KV,USPWNNC,INACTIVE,Port Wentworth National Cntr Depot,CUSTOMER LOCATION
XBZWSPVA6H7N3,INBUTBK,ACTIVE,DISTRIBUTION LOG INFRA PVT LTD,DEPOT
0OPTXOZ5KJC1H,JPSSS01,ACTIVE,Satsuma-Sendai,TERMINAL
0ICWAVZY3E5J2,,INACTIVE,Babenhausen (Hess.),TO BE UPDATED
2W63BQXVD1NKK,AUBNECT,ACTIVE,Queensland Container traders,DEPOT
0RDU0ZAES3UX7,DOSDQB2,ACTIVE,Ageport Off Dock Yard,TERMINAL
0FC7UNG6P0IGV,,INACTIVE,N Carrollton,TO BE UPDATED
0SR6Q4AIYIGLB,,INACTIVE,Sekupang,TO BE UPDATED
0ZLHWLKF5PW5I,AOLB2PT,ACTIVE,Lobito Port Terminal,TERMINAL
XWHDXRHARR1OV,MABDHAN,ACTIVE,Banco del Hoyo Terminal,TERMINAL
1EDEKGHH2SR5R,,INACTIVE,Campognano Sesia,TO BE UPDATED
SVKG8PMORJGXR,AUFRESC,ACTIVE,Sea Containers WA P/L,DEPOT
26HV72PPYINPA,YEA1ETM,ACTIVE,Little Aden,BARGE TERMINAL
1SY5VX5TCWC6T,FRTUO01,INACTIVE,Jardel Location,DEPOT
27OAN1M0TNPE7,USNPNDD,INACTIVE,AAFES Dan Daniel Dist Center.,CUSTOMER LOCATION
3K42LJPWC62KF,,INACTIVE,Enfield Nc,TO BE UPDATED
A7I3F8EKQ2JJB,USTACTE,ACTIVE,TOTE Terminal - Tacoma,TERMINAL
3FCWIFYDA5ATX,AUADLRM,ACTIVE,Richard Mitchell Removals Depot,DEPOT
2811108130408,ITSPE33P,ACTIVE,INDUSTRIE REBORA LA SPEZIA,DEPOT
3SC3YBRFUVZB3,JPTYO02,INACTIVE,Tokyo Van Pool/Mitsubishi Ohi Cy,DEPOT
1VMEDSOQI1U2U,USCHICS,ACTIVE,Chicago CSX Interchange Lane,RAIL TERMINAL
